id,def,age,inc_brac4,inc_brac3,inc_brac2,inc_brac1,income_missing,kin_missing,credit_score_avg,credit_score,credit_score_m,deposit_min_avg,deposit_max_avg,total_deposit,monthly_deposit_avg,min_rec_avg,max_rec_avg,total_rec,monthly_rec_avg,avg_monthly_inc,rec_inc_r,d_inc_r,airtime_min_avg,airtime_max_avg,total_airtime,monthly_airtime_avg,a_inc_r,avg_min_paybill,avg_max_paybill,total_paybill,monthly_paybill_avg,p_inc_r,avg_min_transfered,avg_max_transfered,total_transfered,avg_monthly_transferred,t_inc_r,avg_min_withdrawals,total_withdrawals,avg_withdrawls,w_inc_r,w_dep_r,avg_min_sent,avg_max_sent,avg_monthly_sent,s_inc_r,s_rec_r,monthly_exp_avg,inc-exp,exp-inc,rec_exp_r,d_exp_r,inc_exp_r,t_exp_r,w_exp_r,s_exp_r,p_exp_r,a_exp_r,total_sent
1,0,22,0,0,0,0,1,1,14.32,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,26,0,0,0,1,0,0,0,0,1,714.2857143,385.7142857,4980,711.4285714,4.428571429,914.2857143,15481,2211.571429,2923,0.756610136,0.243389864,2.428571429,12.85714286,428,61.14285714,0.020917844,5,74.28571429,1000,142.8571429,0.048873467,17,464.4285714,15868,2266.857143,0.775524168,147.1428571,9380,1340,0.458433117,1.883534137,2,381.4285714,1452.428571,0.496896535,0.496896535,5263.285714,-2340.285714,2340.285714,0.420188367,0.135168146,0.555356513,0.430692397,0.254593817,0.275954727,0.027142198,0.011616861,41757.32143
3,0,29,0,0,0,0,1,1,16.06,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,47,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1870,2671.428571,22790,3255.714286,3255.714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428.571429,31000,4428.571429,1.360245722,0,294.2857143,294.2857143,294.2857143,0.090390522,0.090390522,4722.857143,-1467.142857,1467.142857,0.689352692,0,0.689352692,0,0.93768905,0.06231095,0,0,8460.714286
7,1,23,0,0,0,0,1,1,14.32,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,21,0,0,0,1,0,0,0,0,1,71.42857143,75.71428571,940,134.2857143,143.5714286,714.2857143,15789,2255.571429,2389.857143,0.94381015,0.05618985,24.28571429,46.28571429,470,67.14285714,0.028094925,31.42857143,38.57142857,490,70,0.029290454,4.142857143,4.142857143,58,8.285714286,0.003467033,101.4285714,9578,1368.285714,0.572538705,10.1893617,82.42857143,163.5714286,311.5714286,0.130372407,0.130372407,1825.285714,564.5714286,-564.5714286,1.235736088,0.073569696,1.309305784,0.004539407,0.749628238,0.170697347,0.03835016,0.036784848,8957.678571
9,1,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,26,0,0,0,0,1,1,14.36,718,0,1642.857143,2371.428571,18800,2685.714286,1242.857143,3050,29700,4242.857143,6928.571429,0.612371134,0.387628866,10.57142857,30.57142857,599,85.57142857,0.012350515,286.8571429,286.8571429,2008,286.8571429,0.041402062,440.7142857,468.5714286,3585,512.1428571,0.073917526,1077.142857,12840,1834.285714,0.264742268,0.682978723,108.4285714,2242,4335,0.625670103,0.625670103,7053.857143,-125.2857143,125.2857143,0.601494623,0.380744071,0.982238694,0.072604654,0.2600401,0.614557385,0.040666707,0.012131154,124631.25
